goodreads_book_id;tag_id;Total
1618;33114;380
1622;7457;9438
1622;23743;5185
1622;27438;2397
1624;4605;315
1624;19733;381
1624;21689;501
1625;7457;4199
1625;23743;2926
1625;27438;1555
1627;11743;663
1627;26138;303
1627;27669;400
1633;17780;138
1633;21689;124
1633;22743;202
1715;11743;419
1715;21024;583
1715;23831;1226
1823;21689;637
1823;21773;218
1823;23931;113
1824;14552;146
1824;21689;586
1824;21773;184
1842;14552;1703
1842;21689;1444
1842;21773;575
1846;7077;509
1846;7203;149
1846;21689;291
1848;4605;709
1848;21689;520
1848;21773;373
1869;21689;312
1869;21773;216
1869;24099;144
1875;21689;423
1875;21773;177
1875;30258;234
1897;1691;169
1897;20539;106
1897;21689;319
1898;1691;312
1898;21689;1345
1898;21773;547
1911;5951;577
1911;14552;687
1911;21689;1572
1934;7404;3765
1934;7457;20533
1934;11743;5990
1953;7404;2830
1953;7457;16170
1953;11743;5394
1990;7457;572
1990;9468;122
1990;11743;245
2002;11305;267
2002;11743;81
2002;14017;188
2049;8517;201
2049;11743;243
2049;20939;353
2052;240;191
2052;7404;189
2052;21672;627
2054;8517;325
2054;11743;575
2054;20939;707
2094;21689;600
2094;21773;177
2094;26816;145
2095;21689;185
2095;23569;313
2095;26816;290
2122;7457;2578
2122;11743;3692
2122;23471;1335
2137;240;72
2137;11743;403
2137;18001;151
2142;7116;56
2142;11743;45
2142;29076;49
2159;10245;422
2159;21689;693
2159;23931;330
2165;7404;1875
2165;7457;10485
2165;11743;6306
2175;7404;1125
2175;7457;6900
2175;11743;2810
2183;509;90
2183;11743;319
2183;12452;105
2187;4949;1202
2187;11743;6142
2187;14487;851
2199;4605;1245
2199;14552;3124
2199;21689;1614
2203;4605;2591
2203;14552;3109
2203;21689;1562
2255;11743;188
2255;28341;160
2255;28384;209
2265;3611;111
2265;8759;122
2265;28422;89
2279;4605;299
2279;24246;227
2368;4605;633
2368;14552;569
2368;21689;295
2371;14552;238
2371;21689;160
2371;21773;183
2372;14552;188
2372;21689;343
2372;21773;123
2373;8517;528
2373;20939;927
2373;30358;543
2517;11743;893
2517;14487;515
2517;20939;233
2526;10059;643
2526;11743;2546
2526;26837;556
2528;11743;332
2528;22743;68
2528;24009;60
2530;11743;186
2530;14487;112
2530;24012;99
2547;7457;1048
2547;23471;1270
2547;23831;1883
2615;5951;575
2615;15604;155
2615;21689;276
2623;7404;2504
2623;7457;15539
2623;11743;5149
2657;7404;6309
2657;7457;31068
2657;14487;4735
2666;240;137
2666;7457;184
2666;11743;1349
2677;11743;125
2677;15048;66
2677;26636;62
2696;7404;959
2696;23831;1615
2696;26735;414
2715;14552;1854
2715;21689;1632
2715;21773;682
2743;4605;244
2743;19733;237
2743;21689;704
2744;11305;6666
2744;11743;2301
2744;31617;865
2748;11743;178
2748;15048;78
2748;22743;69
2767;14552;4610
2767;21689;2673
2767;21773;1269
2784;21689;640
2784;21773;175
2784;23471;229
2794;7457;498
2794;11743;1685
2794;18367;293
2839;6953;1500
2839;11743;1980
2839;33114;2245
2865;11743;2943
2865;14467;960
2865;14487;5028
2932;7404;1096
2932;7457;5907
2932;11743;2460
2978;5207;45
2978;7404;83
2978;18367;43
2998;6953;2688
2998;7457;12224
2998;11743;3873
3008;6953;1366
3008;7457;5576
3008;11743;1518
3028;10245;959
3028;21689;317
3028;23931;116
3049;7457;1617
3049;11305;511
3049;23831;989
3061;2938;207
3061;9904;41
3061;21689;37
3087;7457;4067
3087;11743;1741
3087;26138;681
3102;240;176
3102;11743;1082
3102;18367;195
3109;12175;2752
3109;21689;4525
3109;21773;1995
3110;14552;436
3110;21689;484
3110;21773;731
3273;4949;1056
3273;11743;822
3273;14487;1811
3291;11743;226
3291;18919;71
3291;27669;144
3300;6999;65
3300;11743;258
3300;14487;381
3368;9318;533
3368;21689;266
3368;31678;292
3379;6184;54
3379;8055;53
3379;11743;387
3381;6184;70
3381;8055;62
3381;11743;437
3384;6184;62
3384;8055;55
3384;11743;476
3388;5207;120
3388;13643;149
3388;32130;212
3412;11743;152
3412;14487;124
3412;14527;159
3431;8067;178
3431;11743;245
3431;28341;303
3446;11743;354
3446;14487;88
3446;32130;150
3464;5207;387
3464;11743;492
3464;26138;1001
3465;19733;143
3465;21529;628
3465;21689;324
3466;11743;734
3466;21529;1378
3466;26138;1437
3467;10064;542
3467;11305;506
3467;33114;826
3473;1642;299
3473;22743;471
3473;22753;257
3478;11743;826
3478;21529;1383
3478;26138;1727
3483;5207;127
3483;11743;1153
3483;20939;418
3507;11743;509
3507;16184;904
3507;20939;1650
3559;14552;367
3559;19961;187
3559;21689;354
3562;7457;757
3562;11743;451
3562;33114;474
3586;7457;601
3586;11743;263
3586;20939;471
3590;7457;4843
3590;11743;2160
3590;20939;3587
3648;4949;74
3648;5207;60
3648;11743;519
3656;240;172
3656;5066;147
3656;11743;645
3679;5207;225
3679;8055;218
3679;11743;1343
3686;19733;157
3686;21689;446
3686;21773;252
3690;7457;503
3690;11743;991
3690;18367;173
3692;1746;138
3692;7457;279
3692;18367;93
3698;7457;568
3698;11743;1204
3698;14487;260
3710;5207;39
3710;11743;339
3710;22034;45
3711;5207;355
3711;8055;412
3711;11743;2450
3717;5207;64
3717;7276;78
3717;10891;112
3757;11743;409
3757;16062;232
3757;30358;225
3764;11743;477
3764;16062;244
3764;30358;278
3805;8055;319
3805;11743;2711
3805;22743;331
3836;7457;6219
3836;11743;2922
3836;18367;740
3858;15453;206
3858;21689;186
3858;31155;399
3869;21689;4147
3869;21773;1234
3869;26816;5922
3872;14552;461
3872;21689;708
3872;21773;289
3876;7404;945
3876;7457;6005
3876;11743;4085
3882;8150;365
3882;8209;142
3882;12175;68
3885;8130;35
3885;8150;186
3885;8209;62
3888;8150;397
3888;8209;145
3888;12175;58
3895;8150;576
3895;8209;164
3895;12175;68
3972;11743;146
3972;26771;401
3972;26837;556
3973;11305;259
3973;26837;58
3973;27398;126
3977;11743;337
3977;26771;952
3977;26837;1230
3980;6953;1148
3980;11743;1235
3980;33114;951
3985;11743;3721
3985;14487;1048
3985;24609;493
4004;11743;318
4004;22743;115
4004;23150;240
4005;11743;338
4005;21989;83
4005;22034;77
4008;240;177
4008;22743;155
4008;23150;328
4031;11743;369
4031;14821;174
4031;22743;69
4035;11743;178
4035;17863;57
4035;20939;128
4069;21689;3133
4069;23471;2232
4069;24526;2584
4076;5951;115
4076;5963;22
4076;21689;75
4099;7944;234
4099;21689;192
4099;24420;884
4137;15048;3613
4137;19733;2043
4137;21689;3509
4138;15048;2067
4138;19733;1119
4138;21689;1521
4143;10891;333
4143;15048;816
4143;21689;398
4214;1691;1325
4214;4949;1547
4214;11305;2012
4261;20673;380
4261;21689;284
4261;26256;105
4264;11743;374
4264;21689;317
4264;28422;324
4268;8055;159
4268;11743;1140
4268;15048;137
4271;5207;253
4271;8055;392
4271;11743;1805
4325;5207;502
4325;32989;680
4325;33114;657
4339;14552;331
4339;21689;376
4339;32130;279
4364;15453;232
4364;21689;229
4364;31155;83
4373;14552;279
4373;19733;294
4373;21689;566
4381;7457;14903
4381;11743;9502
4381;26837;8319
4395;7404;1800
4395;7457;10927
4395;11743;5804
4407;11305;16071
4407;11743;6342
4407;31617;2048
4473;4949;456
4473;7457;812
4473;11743;3544
4477;19634;351
4477;21689;767
4477;21773;387
4507;19733;354
4507;19742;200
4507;21689;434
4530;6750;327
4530;6766;65
4530;11743;206
4538;11743;318
4538;21457;303
4538;33114;370
4588;4949;1052
4588;5207;924
4588;11743;4419
4591;4631;231
4591;21689;594
4591;26816;1245
4599;11743;330
4599;14487;167
4599;20939;58
4625;7457;444
4625;11743;532
4625;27669;611
4630;7457;419
4630;11743;518
4630;26256;118
4631;2277;167
4631;14251;193
4631;31155;273
4633;7457;188
4633;11743;241
4633;14251;69
4645;7457;568
4645;11743;602
4645;27669;556
4659;5207;114
4659;11743;979
4659;22743;126
4660;11743;259
4660;16524;39
4660;22743;32
4671;7404;5662
4671;7457;32061
4671;11743;15360
4687;7457;141
4687;11743;535
4687;14487;160
4692;11743;256
4692;14467;174
4692;14487;691
4701;5207;114
4701;11743;803
4701;22743;139
4708;5207;278
4708;7457;1697
4708;11743;821
4796;7404;154
4796;7457;764
4796;11743;695
4799;7404;382
4799;7457;1901
4799;11743;1726
4806;21689;1214
4806;21773;449
4806;26816;1111
4813;7009;125
4813;14552;678
4813;21689;312
4820;14552;1406
4820;21689;709
4820;21773;330
4830;11743;368
4830;15453;95
4830;18919;74
4835;11305;61
4835;11743;48
4835;30521;19
4865;21689;2510
4865;21773;782
4865;27111;795
4866;21689;388
4866;23334;111
4866;27095;687
4887;21689;226
4887;21773;104
4887;24526;296
4894;5951;1154
4894;21689;1460
4894;27095;1097
4898;5951;453
4898;21689;158
4898;28800;129
4900;7404;1265
4900;7457;8128
4900;11743;4784
4909;4605;236
4909;19733;434
4909;21689;489
4912;4605;388
4912;19733;559
4912;21689;691
4921;7404;269
4921;15048;717
4921;15067;384
4929;11743;3497
4929;16203;937
4929;18919;962
4934;7457;5424
4934;18367;986
4934;26374;1217
4948;6895;1615
4948;6953;2280
4948;23605;2172
4950;11743;252
4950;15453;47
4950;22743;48
4952;14487;234
4952;19733;251
4952;21773;162
4954;5207;70
4954;11743;677
4954;22743;90
4965;4949;614
4965;11743;248
4965;14487;650
4979;11743;255
4979;21689;584
4979;21773;254
4981;7457;9243
4981;11743;8881
4981;26837;3863
4982;7457;397
4982;26771;1168
4982;26837;1549
4983;7457;54
4983;11743;151
4984;11743;255
4984;27669;194
4984;31984;95
4985;11743;1022
4985;26837;327
4985;27669;784
4986;11743;322
4986;15048;91
4986;31984;122
4989;14487;270
4989;14552;231
4989;22743;289
5015;240;224
5015;8055;164
5015;11743;228
5053;11743;70
5053;14487;165
5053;20939;88
5055;11743;212
5055;14487;190
5055;30358;115
5062;11743;294
5062;14487;362
5062;30358;168
5084;12175;139
5084;19733;238
5084;21689;215
5093;11305;3043
5093;11743;1044
5093;28663;1662
5107;7404;4104
5107;7457;22118
5107;11743;13435
5113;7457;2025
5113;11743;2574
5113;27669;463
5128;21689;430
5128;23471;479
5128;24526;214
5129;7457;12212
5129;11743;9497
5129;26837;7151
5130;7457;248
5130;11743;565
5130;26837;205
5139;5207;701
5139;6750;3371
5139;11743;2451
5148;7457;3018
5148;26735;545
5148;33114;969
5157;11743;549
5157;22449;79
5157;22456;87
5158;11743;262
5158;22449;66
5158;22456;79
5159;5207;84
5159;11743;496
5159;26138;82
5160;4605;126
5160;19733;102
5160;21689;165
5161;5207;88
5161;11743;215
5161;22456;81
5167;4949;117
5167;11743;366
5167;14487;513
5171;4949;214
5171;11743;164
5171;20939;166
5174;6184;216
5174;11743;761
5174;14487;265
5176;5207;77
5176;11743;456
5176;22456;83
5179;5207;62
5179;11743;186
5179;22456;65
5180;11743;384
5180;22449;67
5180;22456;74
5181;11743;271
5181;22449;62
5181;22456;81
5182;11743;232
5182;22449;65
5182;22456;74
5186;11743;500
5186;13856;98
5186;14487;80
5187;11743;533
5187;22449;81
5187;22456;89
5190;6750;89
5190;11743;462
5190;22456;81
5191;4949;172
5191;5207;217
5191;11743;1134
5196;6750;205
5196;18867;133
5196;26138;130
5197;7457;333
5197;11743;797
5197;14487;298
5204;4949;105
5204;11743;943
5204;22743;139
5205;5207;100
5205;11743;633
5205;22449;82
5211;4949;273
5211;11743;1623
5211;14487;658
5246;7404;503
5246;7457;3082
5246;11743;1531
5296;7457;1172
5296;11743;285
5296;23743;805
5297;7404;2968
5297;7457;18319
5297;11743;6774
5306;7457;708
5306;21689;1026
5306;31155;995
5326;7404;2230
5326;7457;12436
5326;11743;4069
5338;7224;183
5338;7457;845
5338;11743;307
5345;13720;171
5345;21689;195
5345;31254;157
5346;11743;832
5346;16518;654
5346;20939;326
5347;11743;564
5347;16518;405
5347;28422;189
5348;9221;173
5348;11743;320
5348;16518;680
5349;11743;1303
5349;20939;436
5349;30358;479
5350;11743;954
5350;16518;708
5350;30358;390
5351;11743;930
5351;16518;694
5351;20939;367
5352;11743;809
5352;16518;661
5352;20939;317
5354;11743;950
5354;16518;658
5354;30358;363
5356;11743;875
5356;16518;659
5356;20939;304
5359;11743;1844
5359;16518;896
5359;20939;871
5360;11743;441
5360;16518;328
5360;20939;221
5368;11743;188
5368;14487;645
5368;26138;175
5369;11743;252
5369;20939;206
5369;30358;265
5413;11743;169
5413;14821;680
5413;28663;330
5417;11743;32
5417;14821;81
5417;28663;59
5439;11743;2523
5439;15453;619
5439;27669;2511
5454;11743;636
5454;32989;885
5454;33114;2145
5470;11743;15044
5470;26771;5459
5470;26837;7892
5472;7404;182
5472;7457;834
5472;11743;557
5479;7457;776
5479;11743;715
5479;26837;477
5481;7457;203
5481;11743;161
5481;21689;151
5508;4605;71
5508;14552;100
5508;21689;96
5509;7457;73
5509;19733;89
5509;21689;61
5517;7457;1101
5517;11743;464
5517;23743;1419
5526;11743;1149
5526;21529;1761
5526;26138;2802
5527;7457;792
5527;11743;1079
5527;14487;357
5544;4605;1248
5544;21773;599
5544;26816;2033
5548;4605;368
5548;21689;321
5548;26816;622
5553;21689;382
5553;21773;63
5553;22743;59
5571;2867;64
5571;9318;135
5571;26816;69
5575;11743;200
5575;16095;543
5575;20939;260
5659;6953;1374
5659;7457;3671
5659;11743;1556
5693;7457;409
5693;11743;426
5693;27669;531
5697;7457;116
5697;11743;127
5697;26374;108
5755;18243;531
5755;21689;899
5755;26816;704
5759;8055;969
5759;11743;5131
5759;22743;880
5787;7457;176
5787;11743;377
5787;27669;419
5797;7404;633
5797;7457;4154
5797;11743;1371
5805;7778;1886
5805;13547;2018
5805;13561;4900
5826;4949;1088
5826;8055;301
5826;11743;3159
5890;7404;770
5890;7457;4322
5890;20939;1826
5907;7457;12913
5907;11305;41786
5907;11743;11206
5932;7457;231
5932;26138;99
5932;28261;102
5936;5207;21
5936;7457;46
5936;23831;926
5942;6184;106
5942;11743;492
5942;14487;88
5946;6184;179
5946;11743;394
5946;14487;127
5954;7457;400
5954;11743;722
5954;13098;187
6138;7457;2443
6138;11743;996
6138;20939;1653
6150;1746;554
6150;7457;1110
6150;11743;1278
6159;11743;386
6159;18919;40
6159;21166;135
6174;4594;34
6174;7668;30
6174;16383;52
6192;1746;440
6192;11743;1667
6192;28184;245
6193;240;90
6193;11743;377
6194;240;114
6194;1746;157
6194;11743;626
6259;11743;781
6259;14487;935
6259;32130;363
6288;10059;1750
6288;10064;1579
6288;26837;2097
6294;11305;2112
6294;11743;1277
6294;27199;451
6295;4088;148
6295;7457;405
6295;23831;3732
6319;6888;971
6319;6953;2070
6319;11305;2001
6328;6857;151
6328;6953;298
6328;23831;424
6334;10059;1889
6334;11743;5338
6334;26837;2452
6419;11743;337
6419;16184;667
6419;20939;959
6420;11743;369
6420;16184;675
6420;20939;1088
6422;11743;684
6422;16184;966
6422;20939;2201
6423;11743;663
6423;16184;945
6423;20939;2065
6424;11743;619
6424;16184;937
6424;20939;1941
6425;11743;593
6425;16184;935
6425;20939;1874
6440;7457;2865
6440;11743;997
6440;14487;988
6462;4605;735
6462;14552;876
6462;21689;357
6514;7457;1423
6514;11665;342
6514;11743;819
6520;11743;209
6520;19733;152
6520;21689;105
6526;11743;238
6526;20939;468
6526;23086;431
6538;14552;252
6538;21689;633
6538;31254;405
6541;8517;362
6541;20939;773
6541;23086;479
6551;7457;233
6551;11743;579
6551;18367;92
6572;11743;76
6572;14821;171
6572;16559;97
6596;21689;481
6596;27095;452
6596;28341;400
6614;5207;68
6614;6750;477
6614;11743;182
6656;7457;3940
6656;11743;1175
6656;23831;1777
6670;6953;420
6670;11305;302
6670;11743;233
6671;6828;90
6671;9221;46
6671;17124;74
6678;4605;208
6678;19733;137
6678;21689;312
6687;6953;1038
6687;11305;884
6687;11743;807
6689;6953;2460
6689;11305;2132
6689;11743;1828
6690;6857;403
6690;6953;631
6690;11743;500
6693;6857;627
6693;6953;1057
6693;11743;717
6694;6857;202
6694;6953;322
6694;11743;184
6697;5207;100
6697;6750;243
6697;11743;529
6708;21689;957
6708;27095;885
6708;28384;981
6709;21689;100
6709;27095;128
6709;28341;105
6748;10891;770
6748;21689;891
6748;21773;434
6749;11743;333
6749;18367;52
6749;27669;335
6750;11743;139
6750;18367;73
6750;22034;70
6751;10891;913
6751;21689;1016
6751;21773;522
6753;2277;73
6753;11743;242
6753;27669;562
6759;1416;386
6759;11743;2840
6759;22743;412
6819;8055;112
6819;11305;127
6819;11743;701
6820;11305;88
6820;11743;529
6820;16203;128
6858;11743;661
6858;16184;967
6858;20939;2060
6862;240;156
6862;5066;159
6862;11743;1003
6867;5207;1059
6867;14487;2962
6867;26138;1204
6870;240;136
6870;8055;131
6870;11743;714
6872;236;51
6872;240;83
6872;11743;307
6882;4605;251
6882;11743;282
6882;21689;371
6900;11743;1317
6900;21689;3467
6900;21773;1185
6952;11743;2474
6952;18919;916
6952;26138;1020
6976;4949;240
6976;5207;206
6976;11743;1213
7039;1746;455
7039;11743;849
7039;20939;1213
7058;1746;236
7058;11743;405
7058;20939;594
7062;19733;202
7062;21689;284
7062;31155;307
7069;7457;533
7069;11743;2924
7069;18367;259
7073;11743;385
7073;15453;56
7081;11743;205
7081;26771;507
7081;26837;717
7126;7404;2557
7126;7457;13748
7126;11743;5012
7144;7404;1855
7144;11743;5706
7144;26374;1712
7186;7457;766
7186;11743;221
7186;26138;213
7190;7457;7969
7190;11743;2563
7190;14487;1622
7194;14487;203
7194;20939;665
7194;30358;192
7199;6184;91
7199;11743;285
7199;14487;104
7214;7077;736
7214;21689;722
7214;25647;382
7244;4949;1025
7244;11743;1220
7244;14487;2272
7252;4605;138
7252;19733;83
7252;21689;169
7332;7457;1336
7332;11743;2365
7332;22743;1222
7354;11743;2088
7354;24609;361
7354;24624;208
7437;7457;674
7437;11743;1512
7437;22743;279
7442;11743;315
7442;21689;726
7442;21773;296
7445;4949;2836
7445;19733;4218
7445;21689;4738
7455;5207;127
7455;6750;574
7455;11743;316
7493;2305;297
7493;14552;1681
7493;21773;348
7494;11743;576
7494;16095;624
7494;26138;649
7510;11743;314
7510;16095;806
7510;20939;450
7531;15048;392
7531;19733;184
7531;21689;256
7579;5870;215
7579;21689;113
7579;28384;137
7588;7457;3039
7588;11743;2364
7588;18367;589
7603;15782;346
7603;19733;374
7603;21689;380
7604;7457;819
7604;11743;1029
7604;18367;1150
7613;7404;4110
7613;7457;22106
7613;11743;12944
7624;7404;3543
7624;7457;20516
7624;11743;11132
7628;7457;525
7628;11743;550
7628;26256;133
7661;11743;915
7661;26771;524
7661;26837;669
7667;11743;986
7667;20939;233
7667;30358;583
7668;11743;842
7668;20939;299
7668;30358;422
7670;26771;1776
7670;26837;2175
7670;30358;717
7672;11743;1681
7672;26837;885
7672;30358;756
7673;11305;486
7673;11743;805
7673;14487;566
7675;11743;742
7675;19897;196
7675;30358;371
7707;7457;84
7707;11743;28
7707;23743;108
7714;7457;2163
7714;11743;629
7714;23743;1690
7723;7457;849
7723;11743;794
7723;27669;518
7728;7457;2860
7728;9886;758
7728;23743;1996
7733;7457;6390
7733;11305;1624
7733;11743;2630
7742;4949;118
7742;11743;139
7742;14487;435
7745;7457;765
7745;11743;1994
7745;21689;776
7748;14552;181
7748;21689;392
7748;23931;291
7763;7009;517
7763;7457;982
7763;11743;461
7769;6895;403
7769;6953;526
7769;23605;400
7770;6857;1003
7770;6895;1068
7770;6953;1494
7779;6857;766
7779;6953;1099
7779;23605;777
7780;2938;170
7780;9841;21
7780;21689;39
7784;6857;1086
7784;6888;913
7784;7457;551
7785;6857;162
7785;6953;203
7785;23605;199
7788;6857;162
7788;6895;158
7788;6953;213
7797;6857;196
7797;6960;99
7797;17124;120
7805;7457;611
7805;11743;1080
7805;23831;451
7815;19733;1679
7815;21689;1843
7815;21773;890
7882;6953;716
7882;11743;519
7882;14487;773
7911;6953;151
7911;7457;206
7911;11743;144
7926;6953;182
7926;11743;156
7926;14487;234
7973;11152;193
7973;11305;1587
7973;11743;314
7996;11305;3690
7996;11743;829
7996;33114;875
8073;6895;643
8073;6953;833
8073;23605;1069
8087;11152;267
8087;11305;1629
8087;33114;224
8088;22973;551
8088;31617;725
8088;31745;902
8089;11152;402
8089;11305;1446
8089;33114;374
8155;11743;195
8155;14487;95
8155;26138;117
8172;7778;428
8172;13561;277
8172;29010;87
8252;6953;600
8252;7457;300
8252;33114;298
8253;6953;561
8253;7457;723
8253;14487;658
8492;7077;147
8492;7116;251
8492;11743;213
8600;21689;3032
8600;21773;1269
8600;32865;942
8646;4949;144
8646;6184;115
8646;11743;377
8650;11743;1679
8650;26837;1588
8650;30358;677
8676;23334;78
8676;27095;177
8676;27111;93
8680;11743;475
8680;15048;86
8680;30935;38
8682;4949;100
8682;11743;1095
8682;15048;191
8698;11743;1650
8698;26771;2583
8698;26837;3087
8725;12175;414
8725;19733;302
8725;21689;263
8732;7404;193
8732;7457;1007
8732;11743;781
8745;1746;124
8745;4605;190
8745;21689;310
8765;15048;495
8765;19733;457
8765;21689;752
8852;7404;2008
8852;11743;2694
8852;23743;6529
8908;11743;3816
8908;14821;4558
8908;33268;3014
8909;7457;4362
8909;26771;2939
8909;26837;4176
8914;14552;776
8914;20054;114
8914;21689;219
8953;11743;188
8953;25438;320
8953;33114;359
8957;11305;440
8957;31745;366
8957;33114;397
8960;11305;389
8960;31745;322
8960;33114;342
8964;4605;65
8964;7077;237
8964;21689;123
8965;11305;510
8965;31745;427
8965;33114;458
8966;11305;313
8966;31745;248
8966;33114;259
9010;15048;426
9010;19733;163
9010;21689;456
9013;14552;214
9013;21689;351
9013;21773;117
9014;10059;427
9014;26837;268
9014;30358;272
9282;5207;60
9282;11743;241
9282;26138;122
9298;6750;682
9298;11743;211
9298;26138;112
9300;6750;1071
9300;11743;313
9300;26138;216
9301;6750;853
9301;11743;267
9301;26138;139
9302;6750;712
9302;6766;109
9302;11743;220
9303;6750;754
9303;11743;204
9303;26138;171
9328;11743;2206
9328;14487;896
9328;18919;1008
9355;11743;447
9355;16524;68
9355;22743;77
9370;11743;737
9370;15048;130
9370;18367;72
9375;6750;319
9375;11743;2234
9375;14487;701
9417;6750;237
9417;6766;329
9417;11743;590
9419;6750;2295
9419;6766;377
9419;11743;676
9454;7457;45
9454;21689;119
9454;21773;44
9475;6953;178
9475;27199;169
9475;33114;237
9516;13547;2138
9516;13561;3597
9516;21689;1468
9517;7778;688
9517;13547;968
9517;13561;1774
9522;7778;178
9522;13547;164
9522;13561;301
9526;7778;419
9526;13547;505
9526;13561;1043
9530;14552;177
9530;21689;360
9530;21773;181
9531;11305;846
9531;27199;158
9531;33114;224
9534;11743;645
9534;26771;1568
9534;26894;354
9555;11743;733
9555;16203;253
9555;27669;764
9557;11743;585
9557;16203;538
9557;18919;309
9566;11743;1150
9566;15048;212
9566;22743;103
9567;11743;448
9567;15048;75
