books_id;book_id;avg_rating
3412;3412;4,22
3431;3431;3,90
3446;3446;3,90
3464;3464;3,80
3465;3465;4,01
3466;3466;3,98
3467;3467;3,65
3473;3473;4,15
3478;3478;3,95
3483;3483;3,70
3507;3507;4,14
3559;3559;4,10
3562;3562;4,09
3586;3586;4,46
3590;3590;4,29
3648;3648;2,93
3656;3656;3,49
3679;3679;3,68
3686;3686;3,94
3690;3690;3,99
3692;3692;3,98
3698;3698;3,96
3710;3710;3,14
3711;3711;3,75
3717;3717;3,56
3757;3757;3,76
3764;3764;3,88
3805;3805;3,78
3836;3836;3,85
3858;3858;3,51
3869;3869;4,12
3872;3872;3,74
3876;3876;3,83
3882;3882;3,68
3885;3885;4,25
3888;3888;4,31
3895;3895;4,21
3972;3972;3,93
3973;3973;4,01
3977;3977;4,14
3980;3980;4,15
3985;3985;4,17
4004;4004;3,64
4005;4005;3,61
4008;4008;3,59
4031;4031;3,60
4035;4035;4,05
4069;4069;4,33
4076;4076;3,91
4099;4099;4,31
4137;4137;3,97
4138;4138;4,08
4143;4143;3,78
4214;4214;3,88
4261;4261;3,56
4264;4264;3,72
4268;4268;3,18
4271;4271;3,79
4325;4325;3,91
4339;4339;4,24
4364;4364;3,91
4373;4373;4,29
4381;4381;3,97
4395;4395;3,92
4407;4407;4,11
4473;4473;4,22
4477;4477;4,23
4507;4507;3,72
4530;4530;3,10
4538;4538;3,74
4588;4588;3,97
4591;4591;4,02
4599;4599;4,09
4625;4625;4,28
4630;4630;3,57
4631;4631;4,04
4633;4633;3,86
4645;4645;3,88
4659;4659;3,74
4660;4660;3,22
4671;4671;3,89
4687;4687;4,10
4692;4692;4,35
4701;4701;3,46
4708;4708;3,75
4796;4796;3,99
4799;4799;4,02
4806;4806;3,95
4813;4813;3,58
4820;4820;3,86
4830;4830;3,86
4835;4835;4,01
4865;4865;4,13
4866;4866;4,08
4887;4887;4,09
4894;4894;3,74
4898;4898;3,86
4900;4900;3,42
4909;4909;3,73
4912;4912;3,66
4921;4921;3,90
4929;4929;4,13
4934;4934;4,30
4948;4948;4,29
4950;4950;3,91
4952;4952;4,16
4954;4954;3,62
4965;4965;4,00
4979;4979;4,07
4981;4981;4,06
4982;4982;4,16
4983;4983;4,35
4984;4984;3,72
4985;4985;4,13
4986;4986;3,83
4989;4989;4,16
5015;5015;3,61
5053;5053;3,84
5055;5055;3,78
5062;5062;3,91
5084;5084;4,16
5093;5093;3,98
5107;5107;3,79
5113;5113;3,98
5128;5114;3,96
5129;5128;3,97
5130;5129;3,87
5139;5130;3,70
5148;5139;3,56
5157;5148;3,86
5158;5157;3,67
5159;5158;3,68
5160;5159;4,19
5161;5160;3,84
5167;5161;4,04
5171;5167;3,73
5174;5171;3,95
5176;5174;3,67
5179;5176;3,67
5180;5179;3,80
5181;5180;3,64
5182;5181;3,68
5186;5182;3,86
5187;5186;3,82
5190;5187;3,68
5191;5190;3,50
5196;5191;3,88
5197;5196;3,93
5204;5197;3,70
5205;5204;3,78
5211;5205;4,34
5246;5211;3,35
5296;5246;4,03
5297;5296;4,06
5306;5297;4,07
5326;5306;4,02
5338;5326;4,13
5345;5338;3,79
5346;5345;3,85
5347;5346;3,46
5348;5347;3,83
5349;5348;3,91
5350;5349;3,89
5351;5350;3,81
5352;5351;3,68
5354;5352;3,71
5356;5354;3,67
5359;5356;3,97
5360;5359;3,67
5368;5360;3,98
5369;5368;3,83
5413;5369;4,25
5417;5413;4,52
5439;5417;4,12
5454;5439;3,78
5470;5454;4,14
5472;5470;4,26
5479;5472;4,16
5481;5479;3,93
5508;5481;4,25
5509;5508;4,26
5517;5509;3,72
5526;5517;4,01
5527;5526;4,08
5544;5527;4,29
5548;5544;4,28
5553;5548;4,19
5571;5553;4,10
5575;5571;3,87
5659;5575;3,98
5693;5659;4,36
5697;5693;4,47
5755;5697;4,05
5759;5755;4,20
5787;5759;4,39
5797;5787;3,76
5805;5797;4,25
5826;5805;3,92
5890;5826;3,98
5907;5890;4,25
5932;5907;4,33
5936;5932;4,44
5942;5936;3,54
5946;5942;3,88
5954;5946;4,19
6138;5954;3,90
6150;6138;3,87
6159;6150;3,98
6174;6159;4,28
6192;6174;3,83
6193;6192;3,85
6194;6193;3,94
6259;6194;4,07
6288;6259;3,95
6294;6288;4,30
6295;6294;4,14
6319;6295;4,22
6328;6319;4,13
6334;6328;3,80
6419;6334;3,70
6420;6419;3,68
6422;6420;4,17
6423;6422;4,17
6424;6423;4,15
6425;6424;4,17
6440;6425;3,75
6462;6440;3,90
6514;6462;3,98
6520;6514;3,83
6526;6520;3,63
6538;6526;3,44
6541;6538;3,93
6551;6541;3,79
6572;6551;3,90
6596;6572;4,12
6614;6596;3,39
6656;6614;4,06
6670;6656;3,66
6671;6670;4,15
6678;6671;4,04
6687;6678;3,64
6689;6687;3,99
6690;6689;4,07
6693;6690;4,03
6694;6693;3,80
6697;6694;3,55
6708;6697;4,10
6709;6708;4,25
6748;6709;4,28
6749;6748;4,07
6750;6749;3,84
6751;6750;4,25
6753;6751;3,88
6759;6753;4,31
6819;6759;4,06
6820;6819;3,92
6858;6820;4,18
6862;6858;3,41
6867;6862;3,88
6870;6867;3,62
6872;6870;3,44
6882;6872;4,23
6900;6882;4,06
6952;6900;3,94
6976;6952;3,10
7039;6976;3,95
7058;7039;4,06
7062;7058;3,75
7069;7062;4,07
7073;7069;3,61
7081;7073;3,97
7126;7081;4,21
7144;7126;4,18
7186;7144;3,97
7190;7186;4,06
7194;7190;3,82
7199;7194;4,08
7214;7199;3,92
7244;7214;4,02
7252;7244;3,75
7332;7252;3,87
7354;7332;3,83
7437;7354;3,46
7442;7437;3,92
7445;7442;4,24
7455;7445;3,37
7493;7455;3,92
7494;7493;4,16
7510;7494;3,82
7531;7510;3,89
7579;7531;4,18
7588;7579;3,60
7603;7588;3,57
7604;7603;3,88
7613;7604;3,87
7624;7613;3,64
7628;7624;3,72
7661;7628;3,48
7667;7661;3,66
7668;7667;3,61
7670;7668;3,87
7672;7670;3,55
7673;7672;3,64
7675;7673;3,76
7707;7675;4,24
7714;7707;3,90
7723;7714;4,01
7728;7723;3,60
7733;7728;3,55
7742;7733;4,02
7745;7742;4,08
7748;7745;4,10
7763;7748;3,90
7769;7763;4,07
7770;7769;4,12
7779;7770;4,16
7780;7779;4,05
7784;7780;4,35
7785;7784;4,17
7788;7785;4,41
7797;7788;4,11
7805;7797;4,19
7815;7805;3,86
7882;7815;4,19
7911;7882;4,03
7926;7911;4,23
7973;7926;3,89
7996;7973;4,11
8073;7996;4,15
8087;8073;3,88
8088;8087;3,85
8089;8088;3,77
8155;8089;4,16
8172;8155;4,12
8252;8172;4,05
8253;8252;4,18
8492;8253;3,92
8600;8492;3,86
8646;8600;3,85
8650;8646;3,72
8676;8650;4,21
8680;8676;4,01
8682;8680;4,24
8698;8682;4,08
8725;8698;4,02
8732;8725;3,42
8745;8732;4,09
8765;8745;3,65
8852;8765;3,88
8908;8852;4,01
8909;8908;3,80
8914;8909;4,00
8953;8914;3,98
8957;8953;4,14
8960;8957;4,16
8964;8960;4,20
8965;8964;4,12
8966;8965;4,19
9010;8966;3,51
9013;9010;4,18
9014;9013;4,11
9282;9014;4,05
9298;9282;3,78
9300;9298;3,79
9301;9300;3,93
9302;9301;3,77
9303;9302;3,74
9328;9303;4,20
9355;9328;3,61
9370;9355;4,03
9375;9370;4,26
9417;9375;3,64
9419;9417;3,77
9454;9419;3,91
9475;9454;3,79
9516;9475;4,23
9517;9516;4,23
9522;9517;4,27
9526;9522;3,82
9530;9526;4,26
9531;9530;4,15
9534;9531;3,93
9555;9534;3,88
9557;9555;3,82
9566;9557;4,04
9567;9566;3,73
9570;9567;3,97
9589;9570;3,81
9590;9589;3,94
9592;9590;4,21
9593;9592;3,87
9594;9593;3,71
9595;9594;3,87
9597;9595;3,85
9598;9597;3,80
9601;9598;4,02
9646;9601;4,14
9648;9646;3,87
9712;9648;3,89
9717;9712;4,08
9742;9717;3,69
9762;9742;4,15
9777;9762;3,91
9784;9777;3,66
9791;9784;4,05
9799;9791;3,87
9804;9799;4,06
9809;9804;4,19
9820;9809;4,16
9822;9820;4,13
9827;9822;4,10
9833;9827;3,83
9838;9833;3,76
9844;9838;3,36
9854;9844;3,66
9864;9854;3,77
9865;9864;3,92
9913;9865;3,47
9914;9913;3,39
9915;9914;3,58
9943;9915;4,26
9998;9943;3,91
10009;9998;3,75
10031;10009;4,07
10033;10031;3,94
10037;10033;4,09
10058;10037;4,18
10065;10058;4,17
10073;10065;3,41
10104;10073;4,10
10105;10104;3,88
10108;10105;4,25
10115;10108;4,17
10176;10115;4,08
10210;10176;4,10
10222;10210;4,20
10235;10222;4,21
10238;10235;3,96
10365;10238;4,04
10374;10365;4,15
10395;10374;3,76
10412;10395;3,65
10461;10412;3,92
10505;10461;3,77
10506;10505;3,43
10507;10506;3,71
10541;10507;3,89
10566;10541;3,65
10567;10566;3,64
10569;10567;4,31
10574;10569;3,28
10577;10574;3,59
10579;10577;3,94
10583;10579;3,91
10585;10583;3,79
10588;10585;3,90
10592;10588;3,93
10596;10592;3,63
10603;10596;3,65
10607;10603;3,99
10611;10607;3,92
10614;10611;4,11
10617;10614;4,10
10618;10617;3,83
10619;10618;3,66
10625;10619;3,81
10628;10625;3,96
10629;10628;3,72
10639;10629;3,84
10669;10639;4,16
10692;10669;3,77
10739;10692;3,70
10765;10739;3,54
10775;10765;3,74
10799;10775;3,79
10836;10799;4,10
10847;10836;3,98
10867;10847;3,78
10873;10867;3,42
10878;10873;4,07
10882;10878;4,00
10883;10882;3,96
10884;10883;4,08
10890;10884;4,15
10907;10890;4,17
10908;10907;3,59
10909;10908;3,48
10911;10909;3,79
10912;10911;3,52
10913;10912;3,79
10914;10913;3,19
10915;10914;3,80
10916;10915;4,00
10917;10916;4,06
10920;10917;3,83
10929;10920;4,09
10959;10929;3,88
10965;10959;4,43
10975;10965;3,86
10979;10975;3,93
10990;10979;3,66
11003;10990;4,15
11012;11003;3,85
11031;11012;3,80
11041;11031;3,69
11077;11041;3,87
11125;11077;3,60
11138;11125;4,31
11149;11138;4,21
11206;11149;4,13
11208;11206;3,62
11229;11208;3,90
11275;11229;4,17
11289;11275;4,16
11297;11289;4,02
11298;11297;3,94
11299;11298;3,78
11301;11299;4,14
11312;11301;3,85
11318;11312;4,05
11324;11318;3,76
11334;11324;4,01
11337;11334;3,99
11339;11337;4,40
11346;11339;3,86
11359;11346;3,91
11413;11359;3,93
11430;11366;4,44
11436;11413;4,45
11437;11430;4,42
11438;11436;4,22
11446;11437;4,29
11449;11438;4,30
11466;11446;3,98
11472;11449;4,30
11486;11466;4,17
11507;11472;4,19
11525;11486;3,83
11553;11507;4,32
11557;11525;4,28
11564;11553;3,56
11566;11557;4,42
11570;11564;3,59
11573;11566;3,90
11574;11570;4,26
11580;11573;4,06
11588;11574;4,17
11590;11580;3,99
11597;11588;3,74
11602;11590;3,80
11605;11597;3,60
11607;11602;3,80
11623;11605;4,29
11686;11607;4,27
11690;11623;3,77
11691;11686;3,55
11711;11690;3,58
11713;11691;3,88
11734;11711;3,84
11741;11713;3,82
11761;11734;3,92
11762;11741;3,86
11768;11761;3,89
11824;11762;3,54
11899;11768;3,91
11901;11824;4,10
11908;11899;3,84
11918;11901;4,06
11919;11908;4,08
11987;11918;4,18
11989;11919;3,97
12007;11987;4,18
12009;11989;3,99
12013;12007;4,19
12016;12009;4,16
12021;12013;4,07
12067;12016;4,25
12073;12021;4,23
12075;12067;4,06
12083;12073;4,07
12125;12075;3,92
12194;12083;3,61
12204;12125;4,27
12220;12194;3,97
12321;12204;4,01
12349;12220;3,93
12357;12321;3,86
12358;12349;3,90
12374;12357;3,86
12395;12358;4,25
12448;12374;3,94
12468;12395;4,07
12497;12448;4,12
12505;12468;4,18
12527;12497;4,10
12540;12505;4,18
12542;12527;3,98
12543;12540;4,22
12555;12542;3,98
12557;12543;3,98
12609;12555;4,14
12617;12557;4,22
12651;12609;3,75
12657;12617;4,30
12658;12651;4,18
12659;12657;4,06
12691;12658;4,12
12722;12659;3,87
12749;12691;4,14
12781;12722;3,71
12839;12749;4,06
12857;12781;3,88
12898;12839;3,49
12914;12857;3,81
12923;12898;3,18
12930;12914;3,90
12938;12923;3,89
12948;12930;3,45
12957;12938;4,06
12967;12948;3,50
12985;12957;3,80
12996;12967;3,88
13006;12985;3,65
13020;12996;3,81
13060;13006;3,61
13061;13020;3,94
13064;13060;3,95
13065;13061;3,94
13066;13064;3,88
13067;13065;3,86
13068;13066;3,92
13074;13067;3,82
13079;13068;3,79
13083;13074;3,81
13103;13079;3,60
13105;13083;3,61
13130;13103;3,98
13132;13105;4,00
13133;13130;3,82
13134;13132;3,52
13136;13133;4,01
13139;13134;4,16
13147;13136;3,81
13151;13139;3,92
13153;13147;4,10
13157;13151;3,79
13162;13153;3,92
13214;13157;4,19
13235;13162;4,34
13258;13214;3,69
13270;13235;3,81
13360;13258;4,33
13376;13270;4,10
13440;13360;3,93
13451;13376;3,86
13501;13440;4,11
13651;13451;4,18
13662;13501;4,07
13667;13651;4,11
13747;13662;3,67
13810;13667;4,25
13812;13747;4,17
13831;13810;4,27
13834;13812;4,32
13835;13831;4,25
13837;13834;4,28
13839;13835;4,05
13872;13837;3,98
13888;13839;4,12
13890;13872;4,00
13891;13888;3,92
13912;13890;4,12
13928;13891;4,28
13929;13912;4,09
14050;13928;3,95
14064;13929;4,07
14082;14050;4,20
14096;14064;4,11
14118;14082;4,40
14142;14096;4,01
14185;14118;4,01
14201;14142;3,80
14241;14185;3,92
14249;14201;3,98
14250;14241;3,97
14295;14249;4,11
14316;14250;3,97
14318;14295;3,98
14362;14316;3,74
14376;14318;4,08
14383;14362;4,30
14384;14376;4,21
14403;14383;4,41
14461;14384;3,66
14469;14403;4,16
14481;14461;4,25
14498;14469;4,21
14570;14481;4,02
14572;14498;4,34
14595;14554;4,16
14662;14570;3,87
14680;14572;3,83
14706;14595;3,93
14743;14662;3,89
14756;14680;3,64
14817;14706;4,04
14836;14743;3,99
14839;14756;4,03
14864;14817;3,97
14865;14836;3,68
14866;14839;4,10
14891;14864;4,24
14905;14865;4,55
14935;14866;4,06
14940;14891;4,09
14942;14905;3,78
14963;14935;3,08
14964;14940;3,31
14975;14942;3,55
14990;14963;3,57
15014;14964;4,00
15015;14975;4,15
15018;14990;4,18
15019;15014;4,10
15047;15015;4,12
15054;15018;4,08
15055;15019;3,75
15096;15047;3,83
15101;15054;3,78
15154;15055;4,01
15157;15096;3,82
15158;15101;4,02
15159;15154;4,15
15171;15157;3,79
15195;15158;4,53
15196;15159;4,35
15197;15171;4,41
15398;15195;3,39
15567;15196;3,97
15575;15197;3,76
15595;15398;3,71
15613;15567;3,09
15622;15575;3,96
15638;15595;4,05
15654;15613;4,13
15655;15622;4,00
15673;15638;4,18
15676;15654;3,98
15719;15655;3,93
15746;15673;3,95
15760;15676;3,88
15764;15719;3,59
15779;15746;4,14
15836;15760;3,95
15852;15764;4,17
15858;15779;3,27
15860;15836;3,69
15881;15852;4,37
15888;15858;3,93
15924;15860;3,81
15925;15881;4,14
15926;15888;3,82
15931;15924;4,06
15957;15925;3,76
15997;15926;3,80
16055;15931;3,64
16059;15957;3,41
16076;15997;3,84
16130;16055;4,26
16180;16059;3,84
16181;16076;3,88
16183;16130;3,69
16200;16180;3,84
16204;16181;3,36
16213;16183;4,10
16235;16200;3,97
16243;16204;3,82
16249;16213;3,78
16255;16235;4,06
16286;16243;4,04
16299;16249;4,23
16304;16255;4,16
16315;16286;3,98
16319;16299;3,85
16322;16304;3,97
16326;16315;3,78
16328;16319;4,20
16331;16322;4,03
16343;16326;3,98
16349;16328;3,90
16396;16331;4,26
16431;16343;3,77
16433;16349;3,96
16434;16396;3,78
16435;16431;3,98
16619;16433;3,99
16631;16434;4,11
16634;16435;4,11
16640;16619;3,63
16685;16631;3,70
16690;16634;4,17
16696;16640;3,31
16697;16685;3,63
16703;16690;3,69
16707;16696;3,93
16729;16697;4,13
16788;16703;4,02
16790;16707;4,05
16791;16729;4,21
16842;16788;4,11
16884;16790;4,32
16900;16791;4,06
16902;16842;0,00
16981;16884;3,84
16982;16900;4,21
17020;16902;3,65
17061;16981;4,03
17125;16982;3,94
17136;17020;4,08
17143;17061;4,00
17150;17125;3,76
17157;17136;3,91
17162;17143;3,48
17174;17150;3,84
17184;17157;3,62
17204;17162;3,41
17208;17174;3,82
17214;17184;3,99
17267;17204;4,28
17303;17208;4,30
17309;17214;4,24
17324;17267;3,91
17343;17303;4,19
17349;17309;4,27
17461;17324;4,04
17487;17343;3,99
17529;17349;3,85
17567;17461;4,14
17650;17487;3,82
17660;17529;3,48
17683;17567;4,43
17688;17650;4,02
17689;17660;4,07
17690;17683;3,98
17716;17688;3,81
17717;17689;4,46
17728;17690;3,94
17780;17716;4,16
17799;17717;3,87
17800;17728;4,03
17803;17780;3,68
17810;17799;3,61
17841;17800;3,89
17876;17803;4,17
17877;17810;4,03
17961;17841;4,58
17977;17876;4,13
17994;17877;4,28
18005;17961;4,07
18035;17977;4,31
18130;17994;4,07
18131;18005;4,04
18135;18035;3,73
18254;18130;3,85
18266;18131;3,71
18288;18135;3,92
18304;18254;3,91
18342;18266;4,18
18386;18288;4,04
18402;18304;3,38
18405;18342;4,28
18414;18386;3,50
18419;18402;4,41
18420;18405;4,27
18422;18414;4,21
18423;18419;4,05
18431;18420;3,22
18452;18422;3,94
18490;18423;0,00
18521;18431;4,10
18525;18452;3,79
18545;18490;4,06
18553;18521;3,74
18580;18525;3,66
18600;18545;4,20
18646;18553;3,74
18723;18580;3,38
18728;18600;4,20
18749;18646;4,28
18765;18723;4,27
18825;18728;3,71
18839;18749;3,86
18864;18765;3,83
18884;18825;4,07
18889;18839;3,88
18892;18864;3,85
18931;18884;3,84
18943;18889;3,51
18956;18892;4,38
18989;18931;4,04
18990;18943;3,94
18999;18956;4,24
19000;18989;3,78
19001;18990;3,99
19049;18999;4,25
19057;19000;4,09
19063;19001;4,36
19068;19049;3,91
19083;19057;3,91
19089;19063;3,93
19106;19068;3,92
19164;19083;4,01
19302;19089;4,11
19307;19106;4,10
19314;19164;4,27
19351;19302;3,63
19380;19307;3,76
19469;19314;3,72
19494;19351;4,05
19501;19380;3,51
19543;19469;4,22
19552;19494;4,26
19581;19501;3,95
19596;19543;3,74
19631;19552;4,12
19661;19581;3,99
19668;19596;4,16
19793;19631;4,18
19797;19661;3,87
20413;19668;4,30
20563;19793;3,77
20564;19797;3,77
20995;20413;4,05
21025;20563;4,22
21027;20564;4,18
21031;20995;4,25
21326;21025;3,99
21337;21027;4,01
21348;21031;4,05
21484;21326;4,36
21618;21337;3,73
21671;21348;4,19
21683;21484;4,08
21685;21618;3,96
21686;21671;4,07
21704;21683;3,75
21717;21685;4,14
21726;21686;3,50
21727;21704;3,91
21745;21717;4,16
21787;21726;4,25
21796;21727;4,11
21996;21745;3,98
22026;21787;3,94
22028;21796;3,68
22034;21996;4,36
22076;22026;3,42
22175;22028;4,02
22188;22034;3,51
22192;22076;3,56
22193;22175;3,71
22200;22188;4,00
22205;22192;4,03
22206;22193;3,73
22207;22200;3,95
22232;22205;3,74
22284;22206;3,60
22285;22207;3,82
22288;22232;3,59
22290;22284;4,00
22304;22285;3,82
22323;22288;4,05
22326;22290;3,84
22327;22304;4,21
22374;22323;4,09
22435;22326;4,11
22463;22327;3,97
22469;22374;3,96
22543;22435;4,11
22584;22463;3,93
22590;22469;4,10
22628;22543;4,21
22632;22584;4,06
22649;22590;3,70
22680;22628;3,90
22686;22632;3,68
22695;22649;3,83
22896;22680;3,80
22904;22686;4,34
22911;22695;3,73
22917;22896;4,31
22995;22904;3,77
23031;22911;3,78
23196;22917;4,24
23220;22995;3,75
23221;23031;3,54
23225;23196;4,15
23232;23220;3,94
23289;23221;4,09
23316;23225;3,78
23419;23232;3,99
23422;23289;3,81
23522;23316;3,98
23529;23419;4,16
23577;23422;3,81
23686;23522;4,15
23772;23529;4,29
23814;23577;3,80
23875;23686;3,71
23878;23772;3,95
23884;23814;3,66
23885;23875;3,86
23887;23878;3,84
23919;23884;4,37
23940;23885;3,85
23955;23887;4,07
23965;23919;3,78
23966;23940;3,76
24093;23955;4,12
24094;23965;4,21
24096;23966;3,97
24100;24019;3,75
24113;24093;4,30
24128;24094;3,78
24137;24096;3,70
24178;24100;4,15
24192;24113;3,96
24213;24128;4,06
24271;24137;3,77
24280;24178;4,14
24335;24192;4,06
24337;24213;3,97
24431;24271;4,27
24472;24280;3,59
24475;24335;3,85
24476;24337;3,80
24580;24431;4,07
24583;24472;3,89
24724;24475;3,83
24731;24476;3,64
24765;24580;3,77
24768;24583;3,85
24781;24724;4,26
24790;24731;4,07
24796;24765;3,75
24800;24768;4,13
24807;24781;3,81
24812;24790;4,82
24813;24796;4,63
24818;24800;4,68
24830;24807;4,13
24861;24812;4,10
24937;24813;4,17
24938;24818;4,45
24965;24830;4,01
24983;24861;4,03
25014;24937;3,81
25019;24938;3,84
25078;24965;4,23
25099;24983;4,44
25100;25014;4,28
25103;25019;4,48
25104;25078;4,53
25105;25099;4,55
25106;25100;4,45
25148;25103;3,56
25176;25104;4,01
25179;25105;4,06
25200;25106;4,10
25307;25148;4,13
25346;25176;3,73
25350;25179;3,92
25354;25200;4,09
25365;25307;3,93
25373;25346;3,73
25378;25350;4,16
25403;25354;3,91
25460;25365;4,03
25657;25373;3,54
25669;25378;3,81
25698;25403;3,87
25790;25460;4,26
25807;25657;3,81
25955;25669;3,95
26023;25698;4,07
26050;25790;3,98
26097;25807;3,66
26123;25955;3,98
26324;26023;3,97
26329;26050;3,98
26435;26097;4,12
26596;26123;4,35
26599;26324;4,22
26661;26329;4,45
27000;26435;4,14
27003;26596;3,92
27037;26599;3,88
27126;26661;3,90
27208;27000;4,02
27252;27003;4,06
27266;27037;3,92
27298;27126;4,03
27323;27208;3,94
27333;27252;3,94
27397;27266;3,94
27398;27298;3,71
27494;27323;4,12
27523;27333;3,81
27526;27397;4,00
27528;27398;3,95
27822;27494;4,08
28078;27523;3,79
28116;27526;3,77
28195;27528;3,91
28212;27822;4,37
28239;28078;3,96
28250;28116;4,07
28251;28195;4,15
28351;28212;3,99
28381;28239;3,98
28407;28250;4,09
28541;28251;4,24
28547;28351;4,26
28553;28381;4,04
28568;28407;4,08
28634;28541;4,12
28635;28547;3,68
28689;28553;4,09
28703;28568;3,22
28735;28634;4,24
28747;28635;4,22
28815;28689;4,18
28859;28703;4,26
28862;28735;3,78
28866;28747;4,01
28881;28815;4,26
28921;28859;4,10
28922;28862;3,72
28923;28866;3,45
28940;28881;3,94
29022;28921;4,05
29034;28922;4,07
29036;28923;3,95
29044;28940;4,07
29059;29022;3,69
29127;29034;4,18
29209;29036;4,06
29254;29044;4,27
29291;29059;4,21
29393;29127;4,20
29396;29209;4,12
29484;29254;3,74
29486;29291;3,54
29501;29393;3,93
29547;29396;3,39
29641;29484;3,96
29744;29486;3,87
29797;29501;3,98
29802;29547;4,29
29925;29641;4,05
29946;29744;4,14
29981;29797;3,72
29999;29802;3,92
30016;29925;4,12
30043;29946;4,17
30065;29981;4,30
30068;29999;0,00
30071;30016;4,36
30118;30043;4,34
30119;30065;4,29
30120;30068;4,33
30125;30071;4,32
30225;30118;3,90
30228;30119;3,62
30245;30120;3,84
30248;30125;3,89
30260;30225;4,28
30264;30228;4,04
30271;30245;3,78
30274;30248;4,16
30281;30260;4,02
30289;30264;3,90
30292;30271;4,10
30324;30274;3,77
30334;30281;4,15
30347;30289;4,03
30474;30292;3,51
30512;30324;3,75
30593;30334;3,90
30597;30347;3,97
30633;30474;4,16
30658;30512;3,69
30659;30593;4,20
30672;30597;4,06
30868;30633;3,94
30933;30658;3,99
31087;30659;4,04
31099;30672;3,61
31101;30868;3,41
31122;30933;4,00
31168;31087;3,71
31173;31099;3,75
31175;31101;3,56
31178;31122;3,51
31181;31168;3,66
31196;31173;4,18
31242;31175;4,00
31244;31178;4,07
31250;31181;3,97
31259;31196;4,04
31266;31242;3,82
31268;31244;3,90
31271;31250;3,86
31312;31259;4,02
31314;31266;4,25
31332;31268;3,75
31333;31271;3,26
31336;31312;3,70
31338;31314;3,73
31343;31332;3,73
31360;31333;3,74
31426;31336;4,20
31456;31338;3,94
